"","id","group","block","trial","classification","difficulty","response","rt","stimulus"
"1","2","experienced",3,1,"blast","easy","blast",0.853,"blastEasy/BL_10166384.jpg"
"2","2","experienced",3,2,"non-blast","easy","non-blast",0.575,"nonBlastEasy/16258001115A_069.jpg"
"3","2","experienced",3,3,"non-blast","hard","blast",1.136,"nonBlastHard/BL_11504083.jpg"
"4","2","experienced",3,4,"non-blast","hard","non-blast",0.875,"nonBlastHard/MY_9455143.jpg"
"5","2","experienced",3,5,"blast","easy","blast",0.748,"blastEasy/BL_4062147.jpg"
"6","2","experienced",3,6,"blast","easy","blast",0.706,"blastEasy/BL_2256084.jpg"
"7","2","experienced",3,7,"blast","hard","blast",0.686,"blastHard/OTH_21675275.jpg"
"8","2","experienced",3,8,"blast","hard","blast",0.894,"blastHard/BL_21818179.jpg"
"9","2","experienced",3,9,"non-blast","easy","non-blast",0.592,"nonBlastEasy/PC_18672.jpg"
"10","2","experienced",3,10,"blast","hard","blast",0.637,"blastHard/BL_1121527.jpg"
"11","2","experienced",3,11,"non-blast","easy","non-blast",0.527,"nonBlastEasy/SNE_10020536.jpg"
"12","2","experienced",3,12,"non-blast","easy","non-blast",0.699,"nonBlastEasy/LY_2010584.jpg"
"13","2","experienced",3,13,"blast","easy","blast",0.509,"blastEasy/BL_10020433.jpg"
"14","2","experienced",3,14,"non-blast","hard","non-blast",0.751,"nonBlastHard/VLY_9451032.jpg"
"15","2","experienced",3,15,"blast","easy","blast",0.717,"blastEasy/BL_24839843.jpg"
"16","2","experienced",3,16,"non-blast","hard","blast",2.759,"nonBlastHard/LY_4537514.jpg"
"17","2","experienced",3,17,"non-blast","easy","non-blast",0.573,"nonBlastEasy/16258001115A_012.jpg"
"18","2","experienced",3,18,"non-blast","easy","non-blast",0.714,"nonBlastEasy/ER0944_044.jpg"
"19","2","experienced",3,19,"blast","hard","blast",0.746,"blastHard/OTH_12288082.jpg"
"20","2","experienced",3,20,"blast","hard","blast",0.859,"blastHard/OTH_24746583.jpg"
"21","2","experienced",3,21,"non-blast","hard","blast",1.468,"nonBlastHard/BL_866501.jpg"
"22","2","experienced",3,22,"non-blast","easy","non-blast",0.699,"nonBlastEasy/ER0944_076.jpg"
"23","2","experienced",3,23,"blast","hard","blast",0.907,"blastHard/BL_2038845.jpg"
"24","2","experienced",3,24,"non-blast","easy","non-blast",0.557,"nonBlastEasy/14228000751A_077.jpg"
"25","2","experienced",3,25,"blast","easy","blast",0.621,"blastEasy/BL_4062115.jpg"
"26","2","experienced",3,26,"non-blast","hard","blast",2.99,"nonBlastHard/16258001115A_076.jpg"
"27","2","experienced",3,27,"blast","hard","blast",0.747,"blastHard/BL_1121539.jpg"
"28","2","experienced",3,28,"blast","hard","blast",0.666,"blastHard/BL_21964527.jpg"
"29","2","experienced",3,29,"blast","easy","blast",0.618,"blastEasy/OTH_24746620.jpg"
"30","2","experienced",3,30,"non-blast","easy","non-blast",0.558,"nonBlastEasy/SNE_23013274.jpg"
"31","2","experienced",3,31,"blast","hard","blast",0.732,"blastHard/VLY_1120674.jpg"
"32","2","experienced",3,32,"non-blast","hard","non-blast",0.814,"nonBlastHard/VLY_23416215.jpg"
"33","2","experienced",3,33,"non-blast","easy","non-blast",0.891,"nonBlastEasy/LY_8271951.jpg"
"34","2","experienced",3,34,"non-blast","easy","non-blast",0.828,"nonBlastEasy/ER0944_004.jpg"
"35","2","experienced",3,35,"non-blast","hard","non-blast",1.388,"nonBlastHard/MY_9455177.jpg"
"36","2","experienced",3,36,"non-blast","easy","non-blast",0.542,"nonBlastEasy/16258001115A_005.jpg"
"37","2","experienced",3,37,"non-blast","hard","non-blast",0.81,"nonBlastHard/MO_14163691.jpg"
"38","2","experienced",3,38,"non-blast","hard","non-blast",1.072,"nonBlastHard/VLY_4522566.jpg"
"39","2","experienced",3,39,"blast","hard","blast",0.685,"blastHard/BL_294395.jpg"
"40","2","experienced",3,40,"non-blast","hard","blast",2.001,"nonBlastHard/VLY_4817070.jpg"
"41","2","experienced",3,41,"blast","easy","blast",0.668,"blastEasy/OTH_12288137.jpg"
"42","2","experienced",3,42,"non-blast","hard","non-blast",3.13,"nonBlastHard/VLY_4283274.jpg"
"43","2","experienced",3,43,"non-blast","easy","non-blast",0.601,"nonBlastEasy/EO_10020968.jpg"
"44","2","experienced",3,44,"non-blast","hard","blast",1.162,"nonBlastHard/PC_4237886.jpg"
"45","2","experienced",3,45,"non-blast","hard","blast",0.569,"nonBlastHard/OTH_21675242.jpg"
"46","2","experienced",3,46,"blast","easy","blast",0.621,"blastEasy/BL_12930096.jpg"
"47","2","experienced",3,47,"blast","hard","blast",0.651,"blastHard/OTH_21856141.jpg"
"48","2","experienced",3,48,"non-blast","easy","non-blast",0.523,"nonBlastEasy/16258001115A_015.jpg"
"49","2","experienced",3,49,"blast","easy","blast",0.684,"blastEasy/BL_21930875.jpg"
"50","2","experienced",3,50,"blast","hard","blast",0.735,"blastHard/OTH_21675203.jpg"
"51","2","experienced",3,51,"blast","easy","blast",0.631,"blastEasy/OTH_25263205.jpg"
"52","2","experienced",3,52,"blast","hard","blast",0.635,"blastHard/BL_1121494.jpg"
"53","2","experienced",3,53,"blast","easy","blast",0.588,"blastEasy/OTH_12288092.jpg"
"54","2","experienced",3,54,"blast","easy","blast",0.572,"blastEasy/BL_10020457.jpg"
"55","2","experienced",3,55,"non-blast","hard","non-blast",0.652,"nonBlastHard/16258001115A_044.jpg"
"56","2","experienced",3,56,"non-blast","hard","non-blast",0.672,"nonBlastHard/16258001115A_032.jpg"
"57","2","experienced",3,57,"non-blast","easy","non-blast",0.638,"nonBlastEasy/SNE_23013208.jpg"
"58","2","experienced",3,58,"blast","hard","blast",0.895,"blastHard/OTH_24746609.jpg"
"59","2","experienced",3,59,"non-blast","easy","non-blast",0.606,"nonBlastEasy/SNE_25395286.jpg"
"60","2","experienced",3,60,"non-blast","hard","blast",1.917,"nonBlastHard/HC_9768.jpg"
"61","2","experienced",3,61,"blast","easy","blast",0.712,"blastEasy/OTH_12288131.jpg"
"62","2","experienced",3,62,"blast","hard","blast",0.987,"blastHard/BL_12930070.jpg"
"63","2","experienced",3,63,"blast","easy","blast",0.585,"blastEasy/OTH_23078392.jpg"
"64","2","experienced",3,64,"blast","hard","blast",0.78,"blastHard/BL_23546038.jpg"
"65","2","experienced",3,65,"non-blast","easy","non-blast",0.523,"nonBlastEasy/ER0944_010.jpg"
"66","2","experienced",3,66,"blast","easy","blast",0.576,"blastEasy/BL_12930163.jpg"
"67","2","experienced",3,67,"blast","hard","blast",1.038,"blastHard/BL_26626240.jpg"
"68","2","experienced",3,68,"blast","hard","blast",0.669,"blastHard/OTH_23078449.jpg"
"69","2","experienced",3,69,"blast","easy","blast",0.653,"blastEasy/BL_4062100.jpg"
"70","2","experienced",3,70,"non-blast","hard","non-blast",0.972,"nonBlastHard/16253007354A_027.jpg"
"71","2","experienced",3,71,"blast","easy","blast",0.704,"blastEasy/BL_21964525.jpg"
"72","2","experienced",3,72,"blast","easy","blast",0.59,"blastEasy/OTH_21668256.jpg"
"73","2","experienced",3,73,"non-blast","hard","blast",1.436,"nonBlastHard/PMY_9295594.jpg"
"74","2","experienced",3,74,"blast","easy","blast",0.605,"blastEasy/BL_21930949.jpg"
"75","2","experienced",3,75,"blast","easy","blast",0.606,"blastEasy/BL_12930032.jpg"
"76","2","experienced",3,76,"blast","hard","blast",1.146,"blastHard/BL_1121510.jpg"
"77","2","experienced",3,77,"blast","easy","blast",0.781,"blastEasy/BL_1199993.jpg"
"78","2","experienced",3,78,"blast","easy","blast",0.88,"blastEasy/BL_1200010.jpg"
"79","2","experienced",3,79,"non-blast","easy","non-blast",0.51,"nonBlastEasy/ER0944_025.jpg"
"80","2","experienced",3,80,"non-blast","easy","non-blast",0.652,"nonBlastEasy/ER0944_046.jpg"
"81","2","experienced",3,81,"blast","hard","blast",0.828,"blastHard/BL_2256090.jpg"
"82","2","experienced",3,82,"blast","hard","blast",0.906,"blastHard/BL_26626171.jpg"
"83","2","experienced",3,83,"non-blast","hard","blast",1.533,"nonBlastHard/PC_4237901.jpg"
"84","2","experienced",3,84,"non-blast","easy","non-blast",0.713,"nonBlastEasy/EO_10020866.jpg"
"85","2","experienced",3,85,"non-blast","easy","non-blast",0.571,"nonBlastEasy/SNE_10020606.jpg"
"86","2","experienced",3,86,"non-blast","hard","non-blast",2.369,"nonBlastHard/VLY_9446390.jpg"
"87","2","experienced",3,87,"blast","easy","blast",0.573,"blastEasy/BL_10020393.jpg"
