"","id","block","condition","stim","stim_cat","frequency","response","rt","censor"
"31","1","1","speed","5015","nonword","nw_low","nonword",0.7,FALSE
"32","1","1","speed","3623","word","very_low","nonword",0.392,FALSE
"33","1","1","speed","6481","nonword","nw_very_low","nonword",0.46,FALSE
"34","1","1","speed","3305","word","very_low","word",0.455,FALSE
"35","1","1","speed","2244","word","low","nonword",0.505,FALSE
"36","1","1","speed","4468","nonword","nw_high","nonword",0.773,FALSE
"37","1","1","speed","1047","word","high","word",0.39,FALSE
"38","1","1","speed","5711","nonword","nw_low","word",0.587,FALSE
"39","1","1","speed","5036","nonword","nw_low","nonword",0.603,FALSE
"40","1","1","speed","1111","word","high","word",0.435,FALSE
"41","1","1","speed","6561","nonword","nw_very_low","nonword",0.524,FALSE
"42","1","1","speed","1670","word","high","word",0.427,FALSE
"43","1","1","speed","6207","nonword","nw_very_low","nonword",0.456,FALSE
"44","1","1","speed","1424","word","high","word",0.622,FALSE
"45","1","1","speed","1133","word","high","word",0.441,FALSE
"46","1","1","speed","5290","nonword","nw_low","nonword",0.701,FALSE
"47","1","1","speed","4410","nonword","nw_high","word",0.308,FALSE
"48","1","1","speed","3194","word","very_low","word",0.696,FALSE
"49","1","1","speed","2761","word","low","word",0.489,FALSE
"50","1","1","speed","6482","nonword","nw_very_low","nonword",0.407,FALSE
"51","1","1","speed","1667","word","high","word",0.436,FALSE
"52","1","1","speed","3635","word","very_low","word",0.44,FALSE
"53","1","1","speed","1363","word","high","word",0.412,FALSE
"54","1","1","speed","2044","word","low","word",0.421,FALSE
"55","1","1","speed","5112","nonword","nw_low","nonword",0.602,FALSE
"56","1","1","speed","4577","nonword","nw_high","word",0.485,FALSE
"57","1","1","speed","6647","nonword","nw_very_low","nonword",0.524,FALSE
"58","1","1","speed","4515","nonword","nw_high","nonword",0.578,FALSE
"59","1","1","speed","4050","nonword","nw_high","nonword",0.431,FALSE
"60","1","1","speed","2724","word","low","word",0.631,FALSE
"61","1","1","speed","5665","nonword","nw_low","nonword",0.495,FALSE
"62","1","1","speed","2793","word","low","word",0.436,FALSE
"63","1","1","speed","2858","word","low","word",0.488,FALSE
"64","1","1","speed","4611","nonword","nw_high","nonword",0.426,FALSE
"65","1","1","speed","4063","nonword","nw_high","nonword",0.539,FALSE
"66","1","1","speed","3415","word","very_low","word",0.534,FALSE
"67","1","1","speed","1349","word","high","word",0.431,FALSE
"68","1","1","speed","6491","nonword","nw_very_low","nonword",0.514,FALSE
"69","1","1","speed","1172","word","high","word",0.455,FALSE
"70","1","1","speed","6159","nonword","nw_very_low","word",0.744,FALSE
"71","1","1","speed","5508","nonword","nw_low","nonword",0.603,FALSE
"72","1","1","speed","5124","nonword","nw_low","nonword",0.577,FALSE
"73","1","1","speed","6722","nonword","nw_very_low","nonword",0.559,FALSE
"74","1","1","speed","6253","nonword","nw_very_low","nonword",0.411,FALSE
"75","1","1","speed","3077","word","very_low","word",0.573,FALSE
"76","1","1","speed","3410","word","very_low","word",0.519,FALSE
"77","1","1","speed","3443","word","very_low","word",0.597,FALSE
"78","1","1","speed","4497","nonword","nw_high","nonword",0.622,FALSE
"79","1","1","speed","5556","nonword","nw_low","word",0.495,FALSE
"80","1","1","speed","4481","nonword","nw_high","nonword",0.455,FALSE
"81","1","1","speed","2628","word","low","word",0.456,FALSE
"82","1","1","speed","6313","nonword","nw_very_low","nonword",0.438,FALSE
"83","1","1","speed","1012","word","high","word",0.387,FALSE
"84","1","1","speed","2592","word","low","word",0.48,FALSE
"85","1","1","speed","1180","word","high","word",0.362,FALSE
"86","1","1","speed","4091","nonword","nw_high","nonword",0.603,FALSE
"87","1","1","speed","2118","word","low","nonword",0.479,FALSE
"88","1","1","speed","3118","word","very_low","word",0.984,FALSE
"89","1","1","speed","3669","word","very_low","nonword",0.82,FALSE
"90","1","1","speed","2135","word","low","word",0.585,FALSE
"91","1","1","speed","4417","nonword","nw_high","nonword",0.475,FALSE
"92","1","1","speed","5550","nonword","nw_low","nonword",0.597,FALSE
"93","1","1","speed","2758","word","low","word",0.563,FALSE
"94","1","1","speed","1686","word","high","word",0.412,FALSE
"95","1","1","speed","4693","nonword","nw_high","nonword",0.504,FALSE
"96","1","1","speed","5221","nonword","nw_low","nonword",0.47,FALSE
"97","1","1","speed","6609","nonword","nw_very_low","nonword",0.627,FALSE
"98","1","1","speed","2344","word","low","word",0.406,FALSE
"99","1","1","speed","6010","nonword","nw_very_low","nonword",0.563,FALSE
"100","1","1","speed","6447","nonword","nw_very_low","nonword",0.451,FALSE
"101","1","1","speed","5460","nonword","nw_low","nonword",0.45,FALSE
"102","1","1","speed","6619","nonword","nw_very_low","nonword",0.412,FALSE
"103","1","1","speed","1748","word","high","word",0.494,FALSE
"104","1","1","speed","2006","word","low","word",0.549,FALSE
"105","1","1","speed","1753","word","high","word",0.411,FALSE
"106","1","1","speed","6088","nonword","nw_very_low","word",0.441,FALSE
"107","1","1","speed","3376","word","very_low","word",0.852,FALSE
"108","1","1","speed","1041","word","high","word",0.521,FALSE
"109","1","1","speed","4282","nonword","nw_high","nonword",0.652,FALSE
"110","1","1","speed","3546","word","very_low","nonword",0.696,FALSE
"111","1","1","speed","4161","nonword","nw_high","nonword",0.675,FALSE
"112","1","1","speed","2284","word","low","nonword",0.363,FALSE
"113","1","1","speed","2597","word","low","nonword",0.489,FALSE
"114","1","1","speed","2528","word","low","word",0.436,FALSE
"115","1","1","speed","5425","nonword","nw_low","nonword",0.436,FALSE
"116","1","1","speed","3479","word","very_low","word",0.426,FALSE
"117","1","1","speed","3386","word","very_low","word",0.441,FALSE
"118","1","1","speed","4195","nonword","nw_high","nonword",0.475,FALSE
"119","1","1","speed","5147","nonword","nw_low","word",0.729,FALSE
"120","1","1","speed","1169","word","high","nonword",0.505,FALSE
"121","1","1","speed","5796","nonword","nw_low","nonword",0.734,FALSE
"122","1","1","speed","6489","nonword","nw_very_low","nonword",0.48,FALSE
"123","1","1","speed","5258","nonword","nw_low","nonword",0.441,FALSE
"124","1","1","speed","3015","word","very_low","word",0.445,FALSE
"125","1","1","speed","3199","word","very_low","word",0.49,FALSE
"126","1","1","speed","4343","nonword","nw_high","nonword",0.602,FALSE
"127","1","2","accuracy","5511","nonword","nw_low","nonword",0.543,FALSE
"128","1","2","accuracy","1400","word","high","word",0.406,FALSE
"129","1","2","accuracy","2774","word","low","word",0.47,FALSE
"130","1","2","accuracy","2265","word","low","word",0.441,FALSE
"131","1","2","accuracy","1153","word","high","word",0.451,FALSE
"132","1","2","accuracy","1558","word","high","word",0.401,FALSE
"133","1","2","accuracy","3689","word","very_low","word",0.48,FALSE
"134","1","2","accuracy","5661","nonword","nw_low","nonword",0.465,FALSE
"135","1","2","accuracy","3175","word","very_low","nonword",0.47,FALSE
"136","1","2","accuracy","6640","nonword","nw_very_low","nonword",0.923,FALSE
"137","1","2","accuracy","3407","word","very_low","word",0.671,FALSE
"138","1","2","accuracy","6658","nonword","nw_very_low","nonword",0.602,FALSE
"139","1","2","accuracy","2305","word","low","word",0.661,FALSE
"140","1","2","accuracy","4292","nonword","nw_high","nonword",0.847,FALSE
"141","1","2","accuracy","3470","word","very_low","word",0.651,FALSE
"142","1","2","accuracy","6611","nonword","nw_very_low","word",1.332,FALSE
"143","1","2","accuracy","4199","nonword","nw_high","nonword",0.575,FALSE
"144","1","2","accuracy","2415","word","low","word",0.593,FALSE
"145","1","2","accuracy","6282","nonword","nw_very_low","nonword",0.661,FALSE
"146","1","2","accuracy","4512","nonword","nw_high","nonword",1.018,FALSE
"147","1","2","accuracy","6552","nonword","nw_very_low","nonword",0.627,FALSE
"148","1","2","accuracy","5491","nonword","nw_low","nonword",0.499,FALSE
"149","1","2","accuracy","5174","nonword","nw_low","nonword",0.813,FALSE
"150","1","2","accuracy","5599","nonword","nw_low","nonword",0.539,FALSE
"151","1","2","accuracy","4046","nonword","nw_high","nonword",0.812,FALSE
"152","1","2","accuracy","4797","nonword","nw_high","nonword",0.431,FALSE
"153","1","2","accuracy","4258","nonword","nw_high","word",0.642,FALSE
"154","1","2","accuracy","4304","nonword","nw_high","nonword",0.477,FALSE
"155","1","2","accuracy","1776","word","high","word",0.534,FALSE
"156","1","2","accuracy","5808","nonword","nw_low","nonword",0.778,FALSE
"157","1","2","accuracy","6035","nonword","nw_very_low","nonword",0.49,FALSE
"158","1","2","accuracy","5441","nonword","nw_low","nonword",0.46,FALSE
"159","1","2","accuracy","5301","nonword","nw_low","nonword",0.48,FALSE
"160","1","2","accuracy","3274","word","very_low","nonword",0.588,FALSE
"161","1","2","accuracy","4031","nonword","nw_high","nonword",0.707,FALSE
"162","1","2","accuracy","6462","nonword","nw_very_low","nonword",0.461,FALSE
"163","1","2","accuracy","5633","nonword","nw_low","nonword",0.51,FALSE
"164","1","2","accuracy","4646","nonword","nw_high","word",0.573,FALSE
"165","1","2","accuracy","6066","nonword","nw_very_low","nonword",0.379,FALSE
"166","1","2","accuracy","6237","nonword","nw_very_low","nonword",0.5,FALSE
"167","1","2","accuracy","5296","nonword","nw_low","nonword",0.49,FALSE
"168","1","2","accuracy","5056","nonword","nw_low","nonword",0.872,FALSE
"169","1","2","accuracy","3380","word","very_low","word",0.661,FALSE
"170","1","2","accuracy","3448","word","very_low","word",0.558,FALSE
"171","1","2","accuracy","3496","word","very_low","word",0.705,FALSE
"172","1","2","accuracy","2134","word","low","word",0.519,FALSE
"173","1","2","accuracy","5638","nonword","nw_low","nonword",0.573,FALSE
"174","1","2","accuracy","2306","word","low","word",0.543,FALSE
"175","1","2","accuracy","6608","nonword","nw_very_low","word",1.273,FALSE
"176","1","2","accuracy","6357","nonword","nw_very_low","nonword",0.605,FALSE
"177","1","2","accuracy","3040","word","very_low","word",0.739,FALSE
"178","1","2","accuracy","1207","word","high","word",0.559,FALSE
"179","1","2","accuracy","6134","nonword","nw_very_low","nonword",0.544,FALSE
"180","1","2","accuracy","5714","nonword","nw_low","word",0.827,FALSE
"181","1","2","accuracy","1692","word","high","word",0.659,FALSE
"182","1","2","accuracy","1750","word","high","word",0.539,FALSE
"183","1","2","accuracy","3398","word","very_low","word",0.705,FALSE
"184","1","2","accuracy","2165","word","low","word",0.685,FALSE
"185","1","2","accuracy","2708","word","low","word",0.451,FALSE
"186","1","2","accuracy","1366","word","high","word",0.48,FALSE
"187","1","2","accuracy","2262","word","low","word",0.499,FALSE
"188","1","2","accuracy","6614","nonword","nw_very_low","nonword",0.808,FALSE
"189","1","2","accuracy","3244","word","very_low","word",0.641,FALSE
"190","1","2","accuracy","4768","nonword","nw_high","nonword",0.564,FALSE
"191","1","2","accuracy","2559","word","low","word",0.789,FALSE
"192","1","2","accuracy","5760","nonword","nw_low","nonword",0.729,FALSE
"193","1","2","accuracy","5107","nonword","nw_low","nonword",0.666,FALSE
"194","1","2","accuracy","5509","nonword","nw_low","nonword",0.49,FALSE
"195","1","2","accuracy","4026","nonword","nw_high","nonword",0.785,FALSE
"196","1","2","accuracy","1483","word","high","word",0.514,FALSE
"197","1","2","accuracy","1212","word","high","word",0.49,FALSE
"198","1","2","accuracy","3039","word","very_low","word",0.588,FALSE
"199","1","2","accuracy","2079","word","low","word",0.529,FALSE
"200","1","2","accuracy","3520","word","very_low","word",0.499,FALSE
"201","1","2","accuracy","3023","word","very_low","word",0.49,FALSE
"202","1","2","accuracy","4102","nonword","nw_high","nonword",0.583,FALSE
"203","1","2","accuracy","2424","word","low","word",0.808,FALSE
"204","1","2","accuracy","6739","nonword","nw_very_low","nonword",0.691,FALSE
"205","1","2","accuracy","1624","word","high","word",0.632,FALSE
"206","1","2","accuracy","4342","nonword","nw_high","word",0.921,FALSE
"207","1","2","accuracy","2260","word","low","nonword",0.605,FALSE
"208","1","2","accuracy","4793","nonword","nw_high","nonword",0.884,FALSE
"209","1","2","accuracy","1485","word","high","word",0.582,FALSE
"210","1","2","accuracy","2555","word","low","word",0.48,FALSE
"211","1","2","accuracy","4313","nonword","nw_high","word",0.451,FALSE
"212","1","2","accuracy","6259","nonword","nw_very_low","nonword",0.722,FALSE
"213","1","2","accuracy","3133","word","very_low","nonword",1.282,FALSE
"214","1","2","accuracy","6302","nonword","nw_very_low","nonword",1.002,FALSE
"215","1","2","accuracy","1769","word","high","word",0.543,FALSE
"216","1","2","accuracy","1706","word","high","word",0.5,FALSE
"217","1","2","accuracy","4164","nonword","nw_high","nonword",0.67,FALSE
"218","1","2","accuracy","2247","word","low","nonword",2.399,FALSE
"219","1","2","accuracy","1054","word","high","word",0.595,FALSE
"220","1","2","accuracy","1629","word","high","word",0.509,FALSE
"221","1","2","accuracy","2648","word","low","word",0.686,FALSE
"222","1","2","accuracy","3741","word","very_low","word",0.46,FALSE
"223","1","3","speed","3694","word","very_low","word",0.949,FALSE
"224","1","3","speed","2684","word","low","word",0.581,FALSE
